CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
814,Male,29,8,97086.4,2,1,1,197276.1,0
710,Male,22,8,0.0,2,0,0,99645.0,0
413,Male,34,9,0.0,2,0,0,6534.2,0
665,Female,40,6,0.0,1,1,1,161848.0,0
623,Female,44,6,0.0,2,0,0,167162.4,0
738,Male,31,9,82674.2,1,1,0,41970.7,0
528,Male,36,7,0.0,2,1,0,60536.6,0
670,Female,65,1,0.0,1,1,1,177655.7,1
622,Female,46,4,107073.3,2,1,1,30984.6,1
582,Male,32,1,88938.6,1,1,1,10054.5,0
785,Female,36,2,99806.9,1,0,1,36976.5,0
605,Male,33,5,150092.8,1,0,0,71862.8,0
479,Male,35,9,92833.9,1,1,0,99449.9,1
685,Male,30,3,90536.8,1,0,1,63082.9,0
538,Male,39,7,108055.1,2,1,0,27231.3,0
562,Male,42,2,100238.4,1,0,0,86797.4,0
675,Male,36,9,106190.6,1,0,1,22994.3,0
721,Male,28,9,154475.5,2,0,1,101300.9,1
628,Female,30,9,132351.3,2,1,1,74169.1,0
668,Female,37,6,167864.4,1,1,0,115638.3,0
506,Female,41,1,0.0,2,1,0,31766.3,0
524,Female,31,8,107818.6,1,1,0,199725.4,1
699,Male,34,4,185173.8,2,1,0,120834.5,0
828,Male,34,8,129433.3,2,0,0,38131.8,0
674,Male,39,6,120193.4,1,0,0,100131.0,0
656,Female,39,6,0.0,2,1,0,141069.9,0
684,Female,48,10,126384.4,1,1,1,198129.4,0
625,Female,28,3,0.0,1,0,0,183646.4,0
432,Male,42,9,152603.5,1,1,0,110265.2,1
549,Female,52,1,0.0,1,0,1,8636.1,1
625,Male,56,0,148507.2,1,1,0,46824.1,1
828,Female,41,7,0.0,2,1,0,171378.8,0
770,Male,24,9,101827.1,1,1,0,167256.4,0
758,Female,34,3,0.0,2,1,1,124226.2,0
795,Female,33,9,130862.4,1,1,1,114935.2,0
687,Male,38,9,122570.9,1,1,1,35608.9,0
686,Male,25,1,0.0,2,0,1,16459.4,0
789,Male,39,7,124828.5,2,1,1,124411.1,0
589,Female,50,5,144895.1,2,1,1,34941.2,0
461,Female,34,5,63663.9,1,0,1,167784.3,0
637,Male,40,2,133463.1,1,0,1,93165.3,0
584,Female,48,2,213146.2,1,1,0,75161.3,1
579,Female,35,1,129490.4,2,0,1,8590.8,1
756,Male,44,10,137452.1,1,1,0,189543.9,0
663,Male,34,7,0.0,2,1,1,180427.2,0
682,Female,43,5,125851.9,1,1,1,193318.3,0
793,Male,52,2,0.0,1,1,0,159123.8,1
691,Female,31,5,40915.6,1,1,0,126213.8,1
485,Female,21,5,113157.2,1,1,1,54141.5,0
635,Female,29,8,138296.9,2,1,0,141075.5,0
650,Male,37,5,106967.2,1,0,0,24495.0,0
735,Male,44,9,120681.6,1,1,0,74836.3,0
416,Male,32,0,0.0,2,0,1,878.9,0
754,Female,32,7,0.0,2,1,0,89520.8,0
535,Female,48,9,0.0,1,1,0,149892.8,1
716,Male,42,8,0.0,2,1,0,180800.4,0
539,Male,37,2,127609.6,1,1,0,98646.2,0
614,Female,43,6,0.0,2,1,1,109041.5,0
706,Male,57,7,0.0,1,1,0,17941.2,1
758,Female,33,7,0.0,2,0,0,82996.5,0
586,Female,28,2,0.0,2,1,1,92067.4,0
646,Female,73,6,97259.3,1,0,1,104719.7,0
631,Female,33,4,123246.7,1,0,0,112687.6,0
717,Female,22,6,101060.3,1,0,1,84699.6,0
684,Male,30,2,0.0,2,1,0,83473.8,0
800,Female,49,7,108007.4,1,0,0,47125.1,0
721,Female,36,2,0.0,2,1,1,106977.8,0
683,Male,29,0,133702.9,1,1,0,55582.5,1
660,Male,31,9,125189.8,2,1,1,139874.4,0
704,Female,24,7,113034.2,1,1,0,162503.5,1
615,Female,41,9,109013.2,1,1,0,196500.0,0
667,Female,39,2,0.0,2,1,0,40721.2,1
682,Male,24,9,57929.8,2,0,0,53134.3,0
484,Female,29,4,130114.4,1,1,0,164017.9,0
628,Male,27,5,95826.5,2,1,0,155997.0,0
480,Male,44,10,129608.6,1,1,0,5472.7,1
578,Male,30,4,169462.1,1,1,0,112187.1,0
512,Male,40,5,0.0,2,1,1,146457.8,0
484,Female,35,7,133868.2,1,1,1,27286.1,0
510,Female,30,0,0.0,2,1,1,130553.5,0
606,Male,36,5,190479.5,2,0,0,179351.9,0
597,Female,40,8,101993.1,1,0,1,94774.1,0
754,Female,55,3,161608.8,1,1,0,8080.9,1
850,Female,45,2,122311.2,1,1,1,19482.5,0
510,Male,65,2,0.0,2,1,1,48071.6,0
778,Female,45,1,162150.4,2,1,0,174531.3,0
636,Male,42,2,0.0,2,1,1,55470.8,0
804,Female,50,4,0.0,1,1,1,8546.9,1
514,Male,32,8,0.0,2,1,0,95857.2,0
730,Female,39,1,99010.7,1,1,0,194945.8,0
525,Female,37,0,0.0,1,0,1,131521.7,0
616,Male,30,5,0.0,2,0,1,196108.5,0
687,Female,34,7,111388.2,2,1,0,148564.8,0
715,Female,41,8,56214.9,2,0,0,92982.6,1
512,Female,36,3,84327.8,2,1,0,17675.4,0
479,Male,40,1,0.0,2,0,0,114996.4,0
601,Male,32,8,93012.9,1,1,0,86957.4,0
580,Male,29,9,61710.4,2,1,0,128077.8,0
807,Male,35,3,174790.2,1,1,1,600.4,0
616,Female,32,6,0.0,2,1,1,43001.5,0
721,Male,37,3,107720.6,1,1,1,158591.1,0
501,Male,57,10,0.0,2,1,1,47847.2,0
521,Male,35,6,96423.8,1,1,0,10488.4,0
850,Male,30,2,141040.0,1,1,1,5978.2,0
759,Male,42,4,105420.2,1,0,1,121409.1,0
516,Male,50,5,0.0,1,0,1,146145.9,1
711,Female,38,2,129022.1,2,1,1,14374.9,1
512,Male,33,3,176666.6,1,1,0,94670.8,0
550,Male,37,3,0.0,1,1,1,179670.3,0
608,Female,41,3,89763.8,1,0,0,199304.7,1
618,Male,34,5,134954.5,1,1,1,151954.4,0
643,Male,45,5,0.0,1,1,0,142513.5,1
671,Male,45,2,106376.9,1,0,1,158264.6,0
689,Male,33,2,161814.6,2,1,0,169381.9,0
603,Male,31,8,0.0,2,1,1,169915.0,0
620,Female,41,9,0.0,2,0,0,88852.5,0
676,Female,34,1,63095.0,1,1,1,40645.8,0
572,Male,26,4,118287.0,2,0,0,60427.3,0
668,Male,47,7,106854.2,1,0,1,157959.0,1
695,Male,46,7,49512.6,1,1,0,133007.3,0
730,Female,33,9,0.0,2,0,0,176576.6,0
807,Male,43,1,105799.3,2,1,0,34888.0,1
592,Male,54,8,0.0,1,1,1,28737.7,1
726,Female,31,9,114722.1,2,1,1,98178.6,0
514,Male,30,7,0.0,1,0,1,125010.2,0
567,Male,42,2,0.0,2,1,1,167984.6,0
850,Male,33,10,0.0,1,1,0,4861.7,1
671,Male,45,6,99564.2,1,1,1,108872.5,1
670,Male,37,4,170557.9,2,1,0,198252.9,0
694,Female,30,9,0.0,2,1,1,26960.3,0
547,Female,39,6,74596.2,3,1,1,85746.5,1
751,Male,50,2,96888.4,1,1,0,77206.3,1
594,Female,29,3,130830.2,1,1,0,61048.5,0
673,Male,72,1,0.0,2,0,1,111981.2,0
610,Male,40,0,0.0,2,1,0,62232.6,0
512,Female,37,1,0.0,2,0,1,156105.0,0
767,Male,20,3,119714.3,2,0,1,150135.4,0
585,Female,67,5,113979.0,2,0,1,93146.1,0
763,Male,42,6,100160.8,1,1,0,33462.9,1
712,Female,29,2,0.0,1,1,1,144375.0,0
539,Female,43,3,116220.5,3,1,0,55804.0,1
668,Female,46,2,0.0,3,1,0,89048.5,1
703,Male,28,2,81173.8,2,0,1,162812.2,0
662,Male,38,4,0.0,2,1,0,136259.7,0
725,Female,39,5,116803.8,1,1,0,124053.0,0
703,Male,37,8,105961.7,2,0,1,74158.8,0
659,Male,67,6,117411.6,1,1,1,45071.1,1
523,Male,34,7,0.0,2,1,0,62030.1,0
635,Female,40,10,123497.6,1,1,0,131953.2,1
772,Male,26,7,152400.5,2,1,0,79414.0,0
545,Female,26,1,0.0,2,1,1,199638.6,0
634,Male,24,8,103097.9,1,1,1,157577.3,0
739,Male,54,8,126418.1,1,1,0,134420.8,1
771,Female,36,5,77846.9,1,0,0,99806.0,0
587,Female,34,1,0.0,2,1,1,97932.7,0
681,Female,79,0,0.0,2,0,1,170969.0,0
544,Male,37,2,79731.9,1,1,1,57559.0,0
696,Male,28,8,0.0,1,0,0,176713.5,0
766,Male,41,0,0.0,2,0,1,34283.2,0
727,Male,34,10,0.0,2,1,1,198637.3,0
671,Female,34,6,37266.7,2,0,0,156917.1,0
693,Female,30,6,127992.3,1,1,1,50457.2,0
850,Male,38,3,54901.0,1,1,1,140075.6,0
732,Male,42,9,108748.1,2,1,1,65323.1,0
726,Female,48,6,99906.2,1,1,0,64323.2,0
557,Female,32,6,184686.4,2,1,0,14956.4,0
682,Female,26,0,110654.0,1,0,1,111879.2,0
738,Male,31,9,79019.8,1,1,1,18606.2,0
531,Female,36,9,99240.5,1,1,0,123137.0,0
498,Male,34,2,0.0,2,1,1,148528.2,0
651,Male,36,7,0.0,2,1,0,13898.3,0
549,Female,39,7,0.0,1,0,0,81259.3,1
791,Female,35,7,52436.2,1,1,0,161051.8,0
650,Male,41,9,0.0,2,0,1,191599.7,0
733,Male,34,3,100338.0,3,1,0,48559.2,1
811,Female,34,1,149297.2,2,1,1,186339.7,0
707,Male,30,8,0.0,2,1,0,33159.4,0
712,Male,28,4,145605.4,1,0,1,93883.5,0
706,Female,37,7,0.0,2,1,1,110899.3,0
756,Male,62,3,0.0,1,1,1,11199.0,1
777,Female,53,10,0.0,2,1,0,189993.0,0
646,Male,35,6,84026.9,1,0,1,164255.7,0
714,Male,46,1,0.0,1,1,0,152167.8,1
782,Male,39,8,0.0,2,1,1,33949.7,0
775,Male,29,10,0.0,2,1,1,68143.9,0
479,Male,35,4,138718.9,1,1,1,47251.8,1
807,Male,42,7,118274.7,1,1,1,25885.7,0
799,Female,22,8,174186.0,2,0,1,192633.9,0
675,Male,40,7,113208.9,2,1,0,34577.4,0
602,Male,29,5,103907.3,1,1,0,161229.8,0
475,Female,32,8,119023.3,1,1,0,100816.3,0
744,Female,26,5,166297.9,1,1,1,181694.4,0
588,Male,34,10,0.0,2,1,0,79078.9,0
703,Male,42,9,63227.0,1,0,1,137316.3,0
747,Female,41,5,94521.2,2,1,0,194926.9,0
583,Male,27,7,0.0,2,1,0,51285.5,0
750,Female,34,9,112822.3,1,0,0,150401.5,1
681,Male,38,3,0.0,2,1,1,112492.0,0
773,Male,25,2,135903.3,1,1,0,73656.4,0
714,Female,31,4,125169.3,1,1,1,106636.9,0
687,Female,44,7,0.0,3,1,0,155853.5,1
511,Male,58,0,149117.3,1,1,1,162599.5,0
627,Male,33,5,0.0,2,1,1,103737.8,0
694,Female,31,10,0.0,2,1,0,160990.3,0
616,Female,36,6,132311.7,1,0,0,15462.8,0
687,Male,35,8,0.0,2,1,0,10334.1,0
712,Female,33,6,0.0,2,1,1,190686.2,0
553,Male,33,4,118082.9,1,0,0,94440.5,0
667,Male,31,1,119266.7,1,1,1,28257.6,0
731,Male,43,2,0.0,1,1,1,170035.0,1
629,Male,35,7,156847.3,2,1,0,31824.3,0
614,Male,50,4,137104.5,1,1,0,127166.5,1
438,Male,31,8,78398.7,1,1,0,44937.0,0
652,Female,80,4,0.0,2,1,1,188603.1,0
729,Male,30,6,63669.4,1,1,0,145111.4,0
642,Male,38,3,0.0,2,0,0,171463.8,0
806,Female,59,0,135296.3,1,1,0,182822.5,0
744,Male,36,2,153804.4,1,1,1,87213.3,0
474,Male,37,3,0.0,2,0,0,57175.3,0
559,Male,49,2,147069.8,1,1,0,120540.8,1
706,Male,42,9,0.0,2,1,1,28714.3,0
628,Female,22,3,0.0,1,1,0,85426.3,0
429,Male,24,4,95741.8,1,1,0,46170.8,0
525,Female,57,2,145965.3,1,1,1,64448.4,0
680,Female,30,8,141441.8,1,1,1,16279.0,0
749,Male,40,1,139290.4,1,1,0,182855.4,1
763,Female,31,4,0.0,2,0,0,50404.7,0
734,Male,30,3,0.0,2,1,0,107640.3,0
716,Male,35,4,144428.9,1,1,0,134132.7,0
594,Male,35,2,0.0,2,1,0,103480.7,0
644,Female,46,9,95441.3,1,1,0,108761.1,1
671,Male,35,1,144848.7,1,1,1,179012.3,0
664,Male,26,7,116244.1,2,1,1,95145.1,0
656,Male,50,7,0.0,2,0,1,72143.4,0
667,Female,40,1,146502.1,1,1,0,19162.9,0
663,Male,44,2,117028.6,2,0,1,144680.2,0
584,Female,30,8,112013.8,1,1,0,177772.0,1
626,Female,37,6,108269.4,1,1,0,5597.9,0
485,Male,29,7,182123.8,1,1,0,116828.5,1
659,Female,32,3,150923.7,2,0,1,174652.5,0
649,Male,33,2,0.0,2,1,0,2011.0,0
805,Female,39,5,165272.1,1,1,0,14109.9,1
716,Female,39,10,115301.3,1,1,0,43527.4,1
642,Female,40,6,129502.5,2,0,1,86099.2,1
659,Male,31,4,118342.3,1,0,0,161574.2,0
545,Female,47,5,0.0,2,1,1,38970.1,0
543,Male,22,8,0.0,2,0,0,127587.2,0
718,Female,25,7,0.0,2,1,0,30380.1,0
840,Female,43,7,0.0,2,1,0,90909.0,0
630,Female,34,9,106937.1,2,1,0,138275.0,0
643,Male,59,3,170331.4,1,1,1,32171.8,0
654,Female,32,1,114510.9,1,1,1,126143.2,0
582,Male,39,5,0.0,2,1,1,129892.9,0
659,Male,32,3,107594.1,2,1,1,102416.8,0
762,Male,39,2,81273.1,1,1,1,18719.7,0
568,Female,32,7,169399.6,1,1,0,61936.2,0
670,Male,25,6,0.0,2,1,1,78358.9,0
613,Female,45,1,187842.0,2,1,1,147224.3,0
539,Male,30,0,0.0,2,1,0,160979.7,0
850,Female,57,8,126776.3,2,1,1,132298.5,0
522,Male,34,9,126436.3,1,1,0,174248.5,1
737,Male,41,1,101960.7,1,1,1,123547.3,0
520,Male,58,3,0.0,2,0,1,32790.0,0
706,Male,28,3,0.0,2,0,1,181543.7,0
643,Female,45,2,150842.9,1,0,1,2320.0,1
648,Female,50,9,102535.6,1,1,1,189543.2,0
443,Female,29,9,99027.6,2,1,0,10940.4,0
640,Male,68,9,0.0,2,1,1,199493.4,0
628,Female,33,3,0.0,1,1,1,188193.3,0
540,Female,42,9,87271.4,2,1,0,172572.6,0
460,Female,35,8,102742.9,2,1,1,189339.6,0
636,Male,34,2,40105.5,2,0,1,53512.2,0
593,Female,29,2,152265.4,1,1,0,34004.4,0
801,Male,42,4,141947.7,1,1,1,10598.3,0
640,Female,75,1,106307.9,2,0,1,113428.8,0
611,Male,31,0,107884.8,2,1,1,183488.0,0
802,Male,31,1,125013.7,1,1,1,187658.1,0
717,Male,35,7,58469.4,2,1,1,172459.4,0
769,Female,39,8,0.0,1,0,1,21016.0,0
745,Male,45,10,117231.6,3,1,1,122381.0,1
572,Male,35,4,152390.3,1,1,0,128123.7,0
629,Female,30,2,34013.6,1,1,0,19570.6,0
687,Female,39,2,0.0,3,0,0,188150.6,1
483,Female,50,9,0.0,2,1,1,111020.2,0
690,Male,36,7,101583.1,2,1,0,123775.2,0
492,Female,30,10,77168.9,2,0,1,146700.2,0
709,Male,28,8,124695.7,2,1,0,145251.4,0
705,Male,44,3,105935.0,1,1,0,82463.7,0
560,Female,66,9,0.0,1,1,1,15928.5,0
611,Male,46,6,0.0,2,1,0,45886.3,0
730,Male,62,2,0.0,2,1,1,186490.0,0
709,Female,45,2,0.0,2,0,1,162922.7,0
544,Female,21,10,161526.0,2,1,0,9262.8,0
712,Female,29,7,147199.1,1,1,1,84932.4,0
752,Male,38,3,183102.3,1,1,1,71557.1,0
648,Male,46,9,127209.0,2,1,0,77406.0,1
556,Male,38,8,0.0,2,0,0,417.4,1
594,Female,24,0,97378.5,1,1,1,71405.2,0
645,Female,37,2,136925.1,2,0,1,153400.2,0
557,Male,33,3,54503.6,1,1,1,371.1,0
547,Male,32,8,155726.9,1,1,0,67790.0,0
701,Female,39,9,0.0,2,0,1,145894.9,0
616,Female,66,1,135842.4,1,1,0,183840.5,1
605,Male,52,1,63349.8,1,1,0,108887.4,0
593,Female,38,4,129499.4,1,1,1,154071.3,0
751,Male,52,8,0.0,2,0,1,179291.9,0
443,Male,36,6,70438.0,2,0,1,56937.4,0
685,Male,23,8,0.0,2,1,1,112239.0,0
718,Male,36,9,0.0,1,1,0,45909.9,0
538,Female,49,9,141434.0,1,0,0,173779.3,1
611,Female,37,4,0.0,2,1,0,125696.3,0
668,Male,37,10,152958.3,2,1,1,159585.6,0
537,Female,41,3,138306.3,1,1,0,106761.5,0
709,Male,23,10,0.0,2,0,0,129590.2,0
850,Male,38,1,0.0,2,1,1,80006.7,0
745,Female,31,3,124328.8,1,1,1,140451.5,0
693,Female,41,9,181461.5,3,1,1,187929.4,1
795,Male,35,8,0.0,2,1,0,167155.4,0
626,Male,26,8,0.0,2,0,0,191420.7,0
487,Female,61,5,110368.0,1,0,0,11384.5,1
556,Female,39,9,89588.4,1,1,1,94898.1,0
643,Female,46,6,0.0,2,0,0,106781.6,0
605,Female,28,6,0.0,2,0,0,159508.5,0
756,Female,60,3,115924.9,1,1,0,93524.2,1
586,Female,38,2,0.0,2,1,0,87168.5,0
535,Male,40,7,111756.5,1,1,0,8128.3,1
678,Female,35,4,0.0,1,1,0,125518.3,0
596,Male,39,9,0.0,1,1,0,48963.6,0
648,Male,26,9,162923.9,1,1,0,98368.2,0
492,Male,39,10,124576.7,2,1,0,148584.6,0
702,Male,45,0,80793.6,1,1,1,27474.8,0
486,Female,40,9,71340.1,1,1,0,76192.2,0
568,Male,40,1,99282.6,1,0,0,134600.9,1
619,Male,57,3,137946.4,1,1,1,72468.0,1
724,Male,41,2,127892.6,2,0,1,199645.5,0
548,Female,33,0,101084.4,1,1,0,42749.9,0
545,Female,37,8,114754.1,1,1,0,136050.4,1
683,Male,33,8,0.0,1,0,0,73564.4,0
762,Female,51,3,99287.0,1,0,1,85578.6,0
627,Female,30,4,79871.0,2,1,0,129826.9,0
516,Male,35,10,104088.6,2,0,0,119666.0,0
800,Female,38,2,168190.3,2,1,0,68052.1,0
464,Female,42,3,85679.3,1,1,1,164104.7,0
626,Female,35,3,0.0,1,0,0,80190.4,0
790,Female,31,9,0.0,2,1,0,84126.8,0
534,Female,34,7,121551.6,2,1,1,70179.0,0
745,Male,46,2,122220.2,1,1,1,118024.1,0
553,Male,47,3,116528.2,1,0,0,145704.2,1
748,Female,26,1,77780.3,1,0,1,183049.4,0
722,Male,37,2,0.0,1,0,0,120906.8,0
501,Male,40,4,125832.2,1,1,1,100433.8,0
675,Female,38,6,68065.8,1,0,0,138777.0,1
778,Female,47,6,127299.3,2,1,0,124695.0,0
494,Female,38,7,174937.6,1,1,0,40084.3,0
850,Male,40,9,0.0,2,0,1,119232.3,0
592,Male,31,7,110071.1,1,0,0,43921.4,0
590,Female,44,3,139432.4,1,1,0,62222.8,0
758,Female,39,6,127357.8,1,0,1,56577.0,0
506,Male,36,5,0.0,2,1,0,164253.4,0
733,Male,33,3,0.0,1,1,1,7666.7,0
711,Male,38,3,0.0,2,1,0,68487.5,0
514,Male,43,1,95556.3,1,0,1,199274.0,1
637,Male,37,8,0.0,1,1,1,186062.4,0
468,Male,29,1,111682.0,2,1,1,195711.2,0
539,Male,39,3,0.0,2,1,0,36692.2,0
509,Female,25,3,108738.7,2,1,0,106920.6,0
662,Female,32,4,133950.4,1,1,1,48725.7,1
818,Male,26,4,0.0,2,1,1,167036.9,0
608,Male,33,9,89968.7,1,1,0,68777.3,0
850,Female,32,9,0.0,2,1,1,18924.9,0
816,Female,38,5,130878.8,3,1,0,71905.8,1
536,Male,35,8,0.0,2,1,0,64833.3,0
753,Male,35,3,0.0,2,1,1,184843.8,0
631,Male,27,10,134169.6,1,1,1,176730.0,0
703,Male,37,1,149762.1,1,1,0,20629.4,1
774,Male,26,2,93844.7,1,1,0,28415.4,0
785,Male,28,8,0.0,2,1,0,77231.3,0
571,Female,33,1,0.0,2,1,0,102750.7,0
621,Male,46,6,141078.4,1,0,0,34580.8,1
605,Female,31,1,117992.6,1,1,1,183598.8,0
611,Female,40,8,100812.3,2,1,0,147358.3,0
569,Male,38,7,0.0,1,1,1,108469.2,0
658,Male,29,4,80262.6,1,1,1,20612.8,0
788,Male,34,6,156478.6,1,0,1,181196.8,0
525,Female,23,5,0.0,2,1,0,160249.1,0
798,Male,37,8,0.0,3,0,0,110783.3,0
486,Male,37,9,115218.0,2,1,0,144995.3,0
615,Male,61,9,0.0,2,1,0,150227.9,1
730,Female,35,0,155470.6,1,1,1,53718.3,0
641,Male,37,7,0.0,2,1,0,75248.3,0
542,Male,39,3,135096.8,1,1,1,14353.4,1
692,Male,30,2,0.0,2,0,1,130486.6,0
714,Female,55,9,180075.2,1,1,1,100127.7,0
591,Male,29,1,97541.2,1,1,1,196356.2,0
710,Female,41,2,156067.1,1,1,1,9983.9,0
639,Female,38,4,81550.9,2,0,1,118974.8,0
531,Female,47,6,0.0,1,0,0,194998.3,1
673,Female,38,2,170061.9,2,0,0,134901.3,1
765,Male,36,8,92310.5,2,1,1,72924.6,0
622,Female,32,6,169089.4,2,1,0,101058.0,0
806,Male,40,5,80613.9,1,1,1,142838.6,0
757,Male,26,8,121581.6,2,1,1,127059.0,0
570,Female,58,8,0.0,1,0,1,116503.9,1
555,Male,32,4,0.0,2,1,1,54405.8,0
692,Male,54,5,0.0,2,1,1,88721.8,0
774,Male,60,5,85891.6,1,1,0,74135.5,1
638,Male,44,9,77637.4,2,1,1,111346.2,0
543,Female,41,4,0.0,1,0,0,194902.2,0
584,Male,31,5,0.0,2,1,0,31474.3,0
691,Male,30,7,116927.9,1,1,0,21198.4,0
684,Female,40,6,137326.7,1,1,0,186976.6,0
733,Male,22,5,0.0,2,1,1,117202.2,0
599,Female,37,2,0.0,2,1,1,143739.3,0
524,Female,31,10,67239.0,2,1,1,161811.2,0
632,Female,38,6,86569.8,2,1,0,98090.9,0
735,Male,34,5,0.0,2,0,0,71095.4,0
734,Male,34,6,133598.4,1,1,1,13107.2,0
605,Female,51,3,136188.8,1,1,1,67110.6,1
793,Male,38,9,0.0,2,1,0,88225.0,0
468,Female,56,10,0.0,3,0,1,62256.9,1
779,Male,37,7,120092.5,2,1,0,135925.7,0
698,Male,48,4,101238.2,2,0,1,177815.9,1
707,Male,58,6,89685.9,1,0,1,126471.1,0
850,Female,35,1,211774.3,1,1,0,188574.1,1
